project_id,district_id,name,cost_mxn
d1_p1,d1,GUARNICIONES Y BANQUETAS DE LA CALLE GONZALEZ SANTA CRUZ COL LEDEZMA SOCOL,50000
d1_p2,d1,PAVIMENTACION CALLE CEMPUAL COL LA VIRGEN,50000
d1_p3,d1,GUARNICIONES Y BANQUETA DE LA CALLE ECOSISTEMAS COL LUZ Y ESPERANZA,50000
d1_p4,d1,DRENAJE EN LA CALLE ECOSISTEMAS COL LUZ Y ESPERANZA,50000
d1_p5,d1,GUARNICIONES Y BANQUETAS DE LA CALLE TORREON COL JARDINES DE CANCUN,50000
d1_p6,d1,GUARNICIONES Y BANQUETAS DE LA CALLE VERACRUZ COL JARDINES DE CANCUN,50000
d1_p7,d1,GUARNICIONES Y BANQUETAS DE LA CALLE MAZATLAN COL JARDINES DE CANCUN,50000
d1_p8,d1,SEMAFORO EN VIALIDAD (CRUCE SEGURO LA CUADRA),50000
d2_p1,d2,PAVIMENTACION DE LA PRIVADA CAZARCO BARRIO DE TIERRA BLANCA,50000
d2_p2,d2,PAVIMENTACION DE LA CALLE REFORMA SOCIAL COL CONSTITUCION,50000
d2_p3,d2,PAVIMENTACION DE LA CALLE ESTEBAN ZAMORA COL JUAN LIRA,50000
d2_p4,d2,PAVIMENTACION INTEGRAL DE LA CALLE C1 COLONIA UNIDAD DE GUADALUPE,50000
d2_p5,d2,REHABILITACION DE AREA VERDE DEL FRACC BENITO JUAREZ,50000
d2_p6,d2,PAVIMENTACION DE LA CALLE DE LA CRUZ COL LUZ Y ESPERANZA,50000
d2_p7,d2,PAVIMENTACION DE LA CALLE ECOSISTEMAS COL LUZ Y ESPERANZA,50000
d2_p8,d2,CORDONERIA Y BANQUETA DE LA CALLE AURORA BOREAL COL LUZ Y ESPERANZA,50000
d3_p1,d3,BARDA PERIMETRAL MIXTA CECYTED 07 COL HIDALGO,50000
d3_p2,d3,REHABILITACION ASFALTICA DE LA CALLE PREDIO LOS ARROYOS ENTRE PREDIO LOS LLANOS Y PREDIO EL CERRO,50000
d3_p3,d3,REHABILITACION ASFALTICA DE LA CALLE PREDIO LOS ARROYOS ENTRE PINO SUAREZ Y PREDIO LAS MESAS FRACC VILLAS DE SAN FRANCISCO,50000
d3_p4,d3,CONSTRUCCION DE CANCHA DE USOS MULTIPLES CECYTED 19 LLANO GRANDE,50000
d3_p5,d3,AULA DE USOS MULTIPLES EN LA ESCUELA PROF JESUS RIVAS QUINONES,50000
d3_p6,d3,SENALIZACION Y PASO PEATONAL EN CALLE ENRIQUE CARROLA ANTUNA,50000
d3_p7,d3,CANCHA DE FUTBOL 7 LOC FRANCISCO MONTES DE OCA,50000
d3_p8,d3,CANCHA DE PASTO SINTETICO EN LA ESCUELA PRIMARIA NO. 23 GABRIELA MISTRAL,50000
d4_p1,d4,BARDA PERIMETRAL CON FACHADA DEL JARDIN DE NIÑOS MARIA LUISA LOPEZ YANEZ DE LA PEÑA,50000
d4_p2,d4,SENALIZACION EN CALLE 6 DE MAYO,50000
d4_p3,d4,CONSTRUCCION DE DOMO DE LA LOC SAN JOSE DEL MOLINO,50000
d4_p4,d4,REHABILITACION DE AREA VERDE DEL FRACC RENACIMIENTO,50000
d4_p5,d4,GUARNICIONES Y BANQUETAS DE LA CALLE TORNADO FRACC LAS NUBES,50000
d4_p6,d4,GUARNICIONES Y BANQUETAS DE LA CALLE NIEBLA FRACC LAS NUBES,50000
d4_p7,d4,GUARNICIONES Y BANQUETAS DE LA CALLE AURORA BOREAL FRACC LAS NUBES,50000
d5_p1,d5,GUARNICIONES Y BANQUETAS DE LA CALLE EDUARDO MANET FRACC LAS NUBES,50000
d5_p2,d5,REHABILITACION ASFALTICA DE LA CALLE PEDRO MORENO COL IV CENTENARIO,50000
d5_p3,d5,REHABILITACION ASFALTICA ENTRE DE LA CALLE VIOLETA BRAVO Y ABASOLO COL IV CENTENARIO,50000
d5_p4,d5,CONSTRUCCION DE AULA DE USOS MULTIPLES JARDIN DE NIÑOS PAPALOTE,50000
d5_p5,d5,CONSTRUCCION DE DOMO ESCOLAR EN CENDI JOSE REVUELTAS,50000
d5_p6,d5,PAVIMENTACION ASFALTICA DEL ESTACIONAMIENTO DE LA CASA DEL JUBILADO SECCION 12 DEL SNTE,50000
d5_p7,d5,PAVIMENTACION ASFALTICA DE LA CALLE RETORNO REVOLUCION FRACC GPE VICTORIA INFONAVIT,50000
d6_p1,d6,CONSTRUCCION DE DOMO EN CANCHA DE USOS MULTIPLES DE LA UNIDAD DEPORTIVA CHIQUIS CABADA,50000
d6_p2,d6,CANCHA DE FUTBOL RAPIDO PARA EL PLANTEL CONALEP DURANGO 130,50000
d6_p3,d6,REHABILITACION DEL PARQUE TIZOC COL ANAHHUAC,50000
d6_p4,d6,CONSTRUCCION DE DOMO EN LA TELESECUNDARIA NO. 29,50000
d6_p5,d6,PAVIMENTACION DE LA CALLE 1RO DE ABRIL COL TIERRA Y LIBERTAD,50000
d6_p6,d6,PAVIMENTACION DE LA CALLE 10 DE ABRIL DE LA COL TIERRA Y LIBERTAD,50000
d6_p7,d6,PAVIMENTACION DE LA CALLE SANTOS DEGOLLADO DE LA COL TIERRA Y LIBERTAD,50000
d6_p8,d6,PAVIMENTACION DE LA CALLE SANTOS DEGOLLADO ENTRE CALLE GONZALEZ ORTEGA Y JUAN ZUA DE LA COL TIERRA Y LIBERTAD,50000
d6_p9,d6,PAVIMENTACION DE LA CALLE JESUS GONZALEZ ORTEGA COL BENITO JUAREZ,50000
