project_id,district_id,votes
d1_p1,d1,229
d1_p2,d1,62
d1_p3,d1,145
d1_p4,d1,499
d1_p5,d1,232
d1_p6,d1,392
d1_p7,d1,308
d1_p8,d1,385
d2_p1,d2,212
d2_p2,d2,524
d2_p3,d2,484
d2_p4,d2,513
d2_p5,d2,296
d2_p6,d2,211
d2_p7,d2,214
d2_p8,d2,424
d3_p1,d3,188
d3_p2,d3,136
d3_p3,d3,42
d3_p4,d3,126
d3_p5,d3,336
d3_p6,d3,485
d3_p7,d3,476
d3_p8,d3,195
d4_p1,d4,94
d4_p2,d4,146
d4_p3,d4,132
d4_p4,d4,213
d4_p5,d4,236
d4_p6,d4,364
d4_p7,d4,300
d5_p1,d5,124
d5_p2,d5,469
d5_p3,d5,131
d5_p4,d5,185
d5_p5,d5,217
d5_p6,d5,382
d5_p7,d5,500
d6_p1,d6,527
d6_p2,d6,3
d6_p3,d6,456
d6_p4,d6,194
d6_p5,d6,163
d6_p6,d6,61
d6_p7,d6,47
d6_p8,d6,508
d6_p9,d6,112
